Spanish,English
hacia,toward
quizás,maybe
espero,wait
juntos,together
año,year
niños,children
pronto,soon
tío,uncle
suerte,luck
ciudad,city
siquiera,even
feliz,happy
venir,come
hija,daughter
gustaría,i would like
minutos,minutes
cuánto,how much
os,you
hey,hey
muerte,death
dejar,leave
realidad,reality
deja,leaves
problemas,issues
vi,i saw
da,da
importante,important
dijiste,you said
corazón,heart
miedo,fear
jefe,boss
agua,water
haré,i will do
justo,fair
horas,hours
poder,can
buenos,good
esposa,wife
manos,hands
debes,you must
viene,comes
venga,come
nuestros,our
ojos,eyes
adelante,forward
encontrar,find
mano,hand
cinco,five
niño,child
ninguna,none
otros,others
cara,face
cuidado,careful
bajo,low
cerca,near
viejo,old
déjame,let me
noches,nights
bastante,quite
fin,end
tomar,take
único,only
misma,same
escucha,listen
ningún,none
suficiente,enough
punto,spot
cuándo,when
sigue,go on
haya,is
equipo,equipment
grande,big
necesita,needs
llegar,arrive
incluso,even
algunos,some
doctor,doctor
difícil,difficult
aunque,although
hubiera,had
primer,first
coche,car
hago,do
clase,class
cuatro,four
mas,further
dices,you say
pequeño,little
llama,calls
toma,take
hiciste,you did
allá,there
última,last
arriba,above
tierra,land
guerra,war
pensar,think
pueda,can
igual,equal
loco,crazy
sangre,blood
mujeres,women
vuelta,lap
fui,i went
trabajar,work
tenido,had
juego,game
deberías,you should
cuerpo,body
e,and
algunas,some
entrar,enter
cree,believe
podía,could
debemos,must
oportunidad,chance
teléfono,phone
necesitamos,need
final,end
listo,ready
fiesta,party
muchos,many
estabas,you were
quieren,they want
vete,go away
auto,car
dar,give
vivir,live
posible,possible
ok,ok
hermana,sister
número,number
meses,months
exactamente,exactly
culpa,blame
abajo,below
escuela,school
ido,gone
fuerte,strong
diciendo,saying
habla,speaks
esté,this
ello,it
pregunta,ask
chicas,girls
eran,were
unas,nails
pasando,passing
atrás,back
malo,bad
capitán,captain
sra.,mrs
bebé,baby
segundo,second
sabemos,we know
mayor,elderly
comida,meal
morir,die
conozco,know
dame,give me
fácil,easy
comer,eat
vino,came
lista,list
haga,do
necesitas,you need
hijos,children
probablemente,probably
padres,parents
habitación,room
creer,believe
pensando,thinking
fueron,were
dime,tell me
trata,treats
buscando,searching
tuve,i had
tampoco,neither
amo,love
joven,young
podrías,could you
sola,alone
par,pair
única,unique
hacen,do
seguir,continue
dr.,dr.
simplemente,simply
dicen,they say
medio,half
puta,bitch
saben,they know
sentido,sense
hagas,do
segura,safe
esperar,wait
lejos,far
arma,weapon
alto,high
pequeña,small
dólares,dollars
seis,six
estaban,were
seguridad,security
maldita,damned
estuvo,was
preocupes,worry
palabra,word
esperando,expecting
queda,is left over
oficina,office
matar,kill
iré,i will go
cama,bed
además,besides
último,last
oído,ear
habría,there would be
estará,will be
dio,gave
recuerdo,memory
siendo,being
acerca,about
tenga,have
luz,light
correcto,correct
ud.,you.
demonios,demons
nuestras,our
verte,see you
dormir,sleep
sitio,place
ayudar,help
conseguir,get
di,say
marido,husband
paz,peace
idiota,idiot
plan,plan
dado,given
cuanto,how much
peor,worse
murió,died
pueblo,town
vivo,alive
venido,come
john,john
basta,enough
paso,passed
deberíamos,we should
música,music
diga,say
minuto,minute
anoche,last night
llamar,call
piensa,think
país,country
digas,say
rey,king
perdón,sorry
mucha,a lot
falta,lack
pienso,i think
diablos,devils
perdido,lost
niña,little girl
señorita,miss
diez,ten
lleva,carry
hospital,hospital
grandes,big
maldito,damned
otras,others
llamado,called
hacemos,we do
llevar,carry
fuego,fire
aqui,here
tuvo,had
poner,put
calle,street
acaba,ends
prueba,proof
increíble,incredible
real,real
libro,book
orden,order
semanas,weeks
especial,special
mía,mine
café,coffee
duro,hard
empezar,begin
afuera,outside
queremos,we want
perro,dog
cielo,darling
jack,jack
puesto,position
viaje,journey
detrás,behind
cuarto,room
querida,dear
haría,would
preguntas,questions
piensas,you think
querido,darling
libre,free
buscar,look for
cual,which
diré,i will say
suena,sounds
jugar,play
cambio,change
película,movie
millones,million
habrá,there will be
llamada,call
resto,rest
vemos,we see
extraño,strange
mala,bad
presidente,president
srta.,ms.
irme,leave
ropa,clothes
perder,lose
vuelve,comes back
agente,agent
palabras,words
información,information
raro,queer
hará,will do
entiendes,you understand
éste,this
trabajando,working
tratando,treating
general,general
trato,deal
usar,wear
perfecto,perfect
derecho,right
modo,mode
ayer,yesterday
conoces,you know
demás,others
quieras,you want
podríamos,we could
noticias,news
asesino,killer
encontrado,found
control,control
odio,hate
frente,forehead
sexo,sex
decirle,tell
estaré,i will be
divertido,fun
armas,arms
recuerdas,do you remember
amiga,friend
grupo,cluster
asunto,affair
acabo,just
mensaje,message
encima,on
atención,attention
diferente,different
uh,uh
cállate,be quiet
daño,damage
sucede,happens
cambiar,change
siguiente,following
sino,but
the,the
seas,be
médico,doctor
boca,mouth
dejó,let
error,mistake
jamás,never
largo,long
pena,grief
voz,voice
futuro,future
siente,feel
secreto,secret
baño,bathroom
mil,thousand
decirte,tell you
sam,sam
pensaba,thought
novia,bride
propia,own
sueño,dream
haz,beam
fuerza,force
deben,they must
supone,supposes
estábamos,we were
ambos,both
ay,oh
estuve,i have been
encontré,i found
vuelto,turned
dolor,pain
dile,tell him
encanta,loves
edad,age
darle,give
pie,foot
negro,black
ganar,gain
york,york
aire,air
lamento,lament
verlo,see it
asesinato,murder
vio,saw
adónde,where to
llegado,arrived
disculpe,excuse me
s,yes
cita,appointment
estaría,would be
fuiste,you went
sistema,system
gusto,taste
pobre,poor
negocio,business
mente,mind
tuyo,yours
campo,field
mire,look
situación,situation
tras,after
hotel,hotel
vosotros,you
funciona,works
foto,photo
abogado,lawyer
loca,crazy
propio,own
alrededor,around
próxima,next
terminado,finished
hablas,speak
pagar,pay
mató,killed
llamo,called
personal,staff
sientes,you feel
ocurre,occurs
ésta,this
recuerda,remember
mitad,half
quiera,want
pelo,hair
tenías,you had
viste,you saw
oficial,official
llegó,arrive
compañía,company
relación,relationship
conoce,know
pase,happens
montón,lot
mejores,best
creí,i believed
cena,dinner
sentir,feel
través,through
accidente,accident
ellas,they
caja,box
tranquilo,don't worry
bonito,pretty
eras,you were
asi,so
pudo,could
vive,lives
vista,view
estúpido,idiot
línea,line
caballeros,gentlemen
haremos,we will
dan,give
quédate,stay
tienda,store
comprar,buy
entendido,understood
centro,center
salvo,except
mes,month
joe,joe
sol,sun
tonto,silly
hambre,hunger
michael,michael
mesa,table
respuesta,answer
completamente,completely
david,david
carta,letter
totalmente,completely
imposible,impossible
pruebas,evidence
novio,boyfriend
normal,normal
gustan,like
frank,frank
pude,could
charlie,charlie
traje,suit
dirección,address
siete,seven
dijeron,they said
placer,pleasure
sean,be
tendrá,will have
barco,ship
blanco,white
tom,tom
profesor,teacher
servicio,service
muchacho,young guy
reunión,meeting
dejado,left
ley,law
quisiera,i'd like
hubo,was
george,george
programa,program
carrera,career
cumpleaños,birthday
muchachos,boys
culo,ass
canción,song
hermosa,beautiful
universidad,university
boda,wedding
decirme,tell me
cualquiera,any
tengas,have
hacía,toward
estés,you are
sala,hall
llevo,he took
decisión,decision
espere,wait
don,gift
necesario,necessary
sal,salt
entra,enter
prisa,hurry
carajo,fuck
embargo,embargo
interesante,interesting
tendrás,you will have
escuchar,hear
abuela,grandmother
hicieron,they did
detective,detective
horrible,awful
suelo,floor
fotos,photos
cárcel,jail
acá,here
io,io
mike,mike
siéntate,sit
decía,said
intentando,trying
vámonos,let's go
maldición,curse
silencio,silence
muerta,dead
capaz,able
salió,came out
club,club
terminar,finish
temo,i fear
broma,joke
gobierno,government
prometo,i promise
cámara,camera
media,average
terrible,terrible
llamó,called
regalo,gift
amable,gentle
dulce,sweet
muertos,dead
querías,you wanted
ataque,stroke
das,give
navidad,christmas
negocios,business
pudiera,could
ocho,eight
avión,plane
investigación,investigation
acabó,just
juro,i swear
mantener,keep
ejército,army
papel,paper
partes,parts
ten,have
gracioso,funny
diría,i would say
principio,principle
delante,in front of
teniente,lieutenant
deseo,desire
vayas,go
nave,nave
sale,comes out
basura,trash
vine,i came
contacto,contact
esposo,husband
tren,train
encontramos,we find
dale,give it
verdadero,true
tuya,yours
alma,soul
hazlo,do it
disculpa,sorry
junto,together
anda,go
tendré,i will have
matrimonio,marriage
saberlo,know it
locura,craziness
oro,gold
permiso,permission
director,director
peligro,danger
libertad,freedom
alegro,glad
baja,low
tendremos,we will have
derecha,right
encuentra,finds
pies,feet
segunda,second
maravilloso,marvelous
espacio,space
rato,a while
abuelo,grandfather
esperaba,i expected
mirando,looking
salud,health
sorpresa,surprise
ninguno,none
miren,look
triste,sad
aun,still
pensado,thought
maestro,teacher
según,according to
infierno,hell
podrían,could
tipos,guys
tía,aunt
crimen,crime
conocido,acquaintance
consejo,advice
ante,in view of
iglesia,church
